,osm_id,amenity,beds,addrcity,opening_ho,shop,addrhousen,addrfull,source,man_made,addrstreet,tourism,rooms,name,geometry,long,lat,nearest_office,nearest_school
6445,5466664780.0,restaurant,,,,,,,,,,,,Chinese food,POINT (112.6762975 -7.2932726),112.6762975,-7.2932726,0.1989686566267136,0.044811187839152715
6455,5479070423.0,restaurant,,,24/7,,41,,,,Jalan Welirang,,,Bebek Goreng H. Slamet,POINT (112.6242995 -7.9727218),112.6242995,-7.9727218,0.4426906409500115,0.2678880606543522
6458,5485794428.0,cafe,,,,,,,,,,,,Warung,POINT (112.5694097 -7.6763791),112.5694097,-7.6763791,7.084104358861465,5.9111501490471925
6460,5486254233.0,restaurant,,,Mo-Su 11:00-21:00,,,,,,,,,Mama Noi,POINT (112.6521521 -7.2923698),112.6521521,-7.2923698,0.30255600267369204,0.3142295159696966
6466,5492374063.0,restaurant,,,Mo-Su 16:00-22:30,,,,,,,,,The Piggy,POINT (112.6548608 -7.2900998),112.6548608,-7.2900998,0.041303923973431744,0.15254145519060952
6469,5497771231.0,restaurant,,,,,,,,,,,,Sam's kitchen,POINT (112.6760344 -7.2934045),112.6760344,-7.2934045,0.20227731576425476,0.06569702374321129
6470,5497771740.0,cafe,,,,,,,,,,,,Churrz,POINT (112.6761595 -7.2939376),112.6761595,-7.2939376,0.16369013169578572,0.11920286641486537
6472,5507289024.0,fast_food,,,,,,,,,,,,McDonald's,POINT (112.6794118 -7.3099135),112.6794118,-7.3099135,1.2278047889134809,1.9164369575210416
6473,5507289026.0,restaurant,,,,,,,,,,,,Peco peco,POINT (112.6792488 -7.3110341),112.6792488,-7.3110341,1.3422499855091206,1.8678057006346769
6476,5523641884.0,fast_food,,,,,,,,,,,,M,POINT (112.6760752 -7.293176),112.6760752,-7.293176,0.18243655013457294,0.041477116823214026
6490,5544076731.0,restaurant,,,,,,,,,,,,Warung pecel,POINT (112.6287791 -7.6903279),112.6287791,-7.6903279,0.675284227687893,1.624778266974765
6502,5591713703.0,restaurant,,,,,,,,,,,,Wapo,POINT (112.6544646 -7.2917338),112.6544646,-7.2917338,0.03769126588211645,0.05143189613689957
6510,5604567154.0,cafe,,,Mo-Su 09:00-21:00,,,,,,,,,Sweet Pea Cafe,POINT (112.1683701 -8.1003458),112.1683701,-8.1003458,0.05455855695423314,0.15335670289500083
6511,5604614708.0,cafe,,,Mo-Su 07:00-22:00,,,,,,,,,de CLASSE Gelato & Coffe,POINT (112.1797979 -8.0925923),112.1797979,-8.0925923,0.8591711616234752,0.18919228310435746
6512,5604629183.0,cafe,,,Mo-Su 10:00-22:00,,,,,,,,,Sam Bistro,POINT (112.1794921 -8.0927237),112.1794921,-8.0927237,0.8242338682295105,0.17336583711719075
6531,5631455261.0,restaurant,,,,,,,,,,,,Pacetoz,POINT (112.5374583 -7.6662283),112.5374583,-7.6662283,10.783682907981111,7.4612477118000236
6544,5651525256.0,cafe,,,,,,,,,,,,Palm sugar cafe,POINT (114.3441903 -8.2173866),114.3441903,-8.2173866,2.1872205630834647,0.1592272834857364
6545,5651550299.0,restaurant,,,,,,,,,,,,D'cost,POINT (112.7455918 -7.2702665),112.7455918,-7.2702665,0.09897052980433343,0.6314075930078598
6546,5651550303.0,restaurant,,,,,,,,,,,,Anda fit,POINT (112.7469105 -7.2609254),112.7469105,-7.2609254,0.3331029827872745,0.5189498371887321
6548,5651550636.0,fast_food,,,,,,,,,,,,Burger King,POINT (112.7481634 -7.2650724),112.7481634,-7.2650724,0.07304066260607277,0.8526315951187092
6551,5651550639.0,restaurant,,,Mo-Su 10:00-16:00,,,,,,,,,Warung Savana,POINT (114.439314 -7.8389118),114.439314,-7.8389118,21.2895284310317,18.191794893929277
6553,5651550748.0,restaurant,,,,,,,,,,,,Warung bambu,POINT (114.3413109 -8.2220955),114.3413109,-8.2220955,1.966032553296789,0.7501665436243229
6565,5690483204.0,cafe,,Surabaya,24/7,,33,,,,Jalan Pasar Turi,,,Agen SBOBET,POINT (112.7367859 -7.2453384),112.7367859,-7.2453384,0.4566242208535962,0.7032090323838974
6571,5707357021.0,restaurant,,Malang,,,11,,,,Jalan Kyai Haji Agus Salim,,,Ikan Bakar 52,POINT (112.6330484 -7.9840024),112.6330484,-7.9840024,0.2759794220539801,0.6326650738837859
6575,5720418322.0,restaurant,,,,,,,,,Jalan Brigjend. Slamet Riyadi,,,Cak Tomo (seafood&lalapan),POINT (112.6271134 -7.9637248),112.6271134,-7.9637248,0.3782388086684588,0.8527378581725553
6586,5737952632.0,restaurant,,Situbondo,,,,,,,Jalan Diponegoro,,,Warung Pojok,POINT (114.0065559 -7.7076954),114.0065559,-7.7076954,0.6423370155722158,2.9981790957350882
6587,5737952633.0,restaurant,,Situbondo,,,,,,,Jalan Sucipto,,,Depot Sari Asih,POINT (114.0062089 -7.705422),114.0062089,-7.705422,0.6849133546457224,2.8493875675241367
6588,5742600951.0,cafe,,,,,,,,,,,,Goeboek Coffee,POINT (111.4006768 -7.8667186),111.4006768,-7.8667186,0.6721490389897197,7.983212825941276
6607,5751453669.0,restaurant,,,,,,,,,,,,Warung Cemara,POINT (112.156855 -8.1094679),112.156855,-8.1094679,0.04612481683053994,0.07582284593616469
6613,5751454127.0,fast_food,,,,,,,,,,,,Several food stalls,POINT (112.2644661 -7.9314143),112.2644661,-7.9314143,12.837984667494997,17.472099637586844
6622,5751454320.0,fast_food,,,,,,,,,,,,Dunkin' Donuts,POINT (112.7454385 -7.5902613),112.7454385,-7.5902613,0.01670299540361843,3.306586166581859
6628,5751454632.0,restaurant,,,,,,,,,,,,Harmoni,POINT (112.1868889 -7.7976807),112.1868889,-7.7976807,4.004856798279052,16.028371544331893
6641,5759627793.0,restaurant,,,,,,,,,,,,Soto Sulung,POINT (114.3988753 -8.140901),114.3988753,-8.140901,0.13253131543192467,7.238554548257405
6647,5759627920.0,fast_food,,,,,,,,,,,,Several food stalls,POINT (114.3987975 -8.1194484),114.3987975,-8.1194484,0.056984472391570284,9.469488017917708
6648,5759628110.0,restaurant,,,,,,,,,,,,RM. Pacific,POINT (112.1619706 -8.099117),112.1619706,-8.099117,0.2225646203948535,0.39239856390079764
6660,5761492940.0,cafe,,,,,,,,,,,,Streets coffee,POINT (113.023846 -7.7158527),113.023846,-7.7158527,1.3065045794840657,7.084067538156372
6702,5827141085.0,restaurant,,,,,,,,,,,,Mie Setan(Devil Noodles),POINT (112.6253928 -7.978723),112.6253928,-7.978723,0.03237472578567367,0.7438829579848097
6703,5827384888.0,restaurant,,,,,,,,,,,,Warung Lupa Diet,POINT (112.6267247 -7.980202),112.6267247,-7.980202,0.09339609994144148,0.5931762979685187
6706,5828860194.0,restaurant,,,,,,,,,,,,Kedai Stasium,POINT (114.3988735 -8.1406621),114.3988735,-8.1406621,0.15386817102965827,7.262864719930261
